Year,OSHPD ID,Count
2009,190541,4138
2009,190547,22192
2009,190552,71011
2009,190555,300335
2009,190568,92944
2009,190570,18020
2009,190587,42818
2009,190630,125248
2009,190631,80282
2009,190636,87080
2009,190646,17901
2009,190661,11946
2009,190673,16025
2009,190680,62841
2009,190681,935
2009,190687,81878
2009,190696,56442
2009,190708,19892
2009,190712,6084
2009,190754,125081
2009,190756,62997
2009,190758,97556
2009,190762,55588
2009,190766,16778
2009,190782,15689
2009,190784,14425
2009,190796,165649
2009,190812,88887
2009,190814,17332
2009,190818,36797
2009,190854,40957
2009,190857,1605
2009,190859,40322
2009,190878,101342
2009,190883,42465
2009,190930,23807
2009,190949,54778
2009,191216,12578
2009,191225,17879
2009,191227,130202
2009,191228,178680
2009,191231,69748
2009,191306,64157
2009,191450,54211
2009,194010,8381
2009,194219,54285
2009,194967,5576
2009,194981,5623
2009,196035,54741
2009,196168,96234
2009,196403,20600
2009,196404,39846
2009,201281,26829
2009,204019,81869
2009,210992,23554
2009,210993,18073
2009,211006,46107
2009,214034,6603
2009,220733,4553
2009,230949,5537
2009,231013,5991
2009,231396,13139
2009,240924,6982
2009,240942,49605
2009,244027,3344
2009,250955,9068
2009,250956,21971
2009,260011,1824
2009,270744,56275
2009,270777,18116
2009,270875,52545
2009,274043,38834
2009,281047,43412
2009,281078,20935
2009,281297,75171
2009,291023,24654
2009,291053,8460
2009,300032,61852
2009,300225,49135
2009,301097,8426
2009,301098,54939
2009,301127,17723
2009,301132,95634
2009,301140,19780
2009,301155,38123
2009,301175,94660
2009,301188,50087
2009,301205,129227
2009,301209,15677
2009,301234,15810
2009,301248,46710
2009,301258,40459
2009,301262,82910
2009,301279,104496
2009,301283,30331
2009,301297,14020
2009,301304,10265
2009,301317,80150
2009,301337,51969
2009,301340,96763
2009,301342,89917
2009,301357,8289
2009,301379,33415
2009,301380,35502
2009,301566,51619
2009,304045,531
2009,304079,13314
2009,304113,9864
2009,304159,2955
2009,304426,4649
2009,310791,13340
2009,311000,75222
2009,314029,4467
2009,320859,21374
2009,320986,1564
2009,321016,1057
2009,330120,26095
2009,331152,50129
2009,331164,86952
2009,331168,74415
2009,331194,62993
2009,331216,32967
2009,331226,7151
2009,331288,6409
2009,331293,37577
2009,331312,99241
2009,331326,15256
2009,332172,11975
2009,334018,17851
2009,334025,61845
2009,334048,21504
2009,334068,69750
2009,334457,4520
2009,334487,114165
2009,340913,142214
2009,340947,93643
2009,340950,84052
2009,340951,85128
2009,341006,172023
2009,341051,73475
2009,341052,95279
2009,342344,42545
2009,342392,19651
2009,344011,25242
2009,344017,18827
2009,344021,21137
2009,344029,19068
2009,344035,10505
2009,344114,10170
2009,350784,13110
2009,361105,7685
2009,361110,1035
2009,361144,16833
2009,361166,16604
2009,361223,116210
2009,361246,204884
2009,361266,2136
2009,361274,29023
2009,361308,58341
2009,361318,64303
2009,361323,61344
2009,361339,79830
2009,361343,62145
2009,361370,24194
2009,361458,1965
2009,362041,57033
2009,364014,27477
2009,364050,24661
2009,364121,12660
2009,364144,22939
2009,364188,17950
2009,364231,112549
2009,370652,44650
2009,370673,88288
2009,370689,40285
2009,370693,6634
2009,370694,107537
2009,370695,58123
2009,370705,25552
2009,370714,125856
2009,370721,16241
2009,370730,125090
2009,370744,148276
2009,370745,40461
2009,370749,21096
2009,370755,112346
2009,370759,51368
2009,370771,83651
2009,370780,79559
2009,370782,139727
2009,370787,29605
2009,370875,99619
2009,370977,71288
2009,371256,40176
