Year,OSHPD ID,Admission_Type,Count
2009,190256,Unscheduled,3226
2009,190256,"Infant, under 24 hrs old",913
2009,190256,Unknown,7
2009,190280,Scheduled,217
2009,190280,Unscheduled,2487
2009,190298,Scheduled,613
2009,190298,Unscheduled,4922
2009,190298,"Infant, under 24 hrs old",863
2009,190298,Unknown,3
2009,190305,Scheduled,823
2009,190305,Unknown,2
2009,190307,Scheduled,1273
2009,190307,Unscheduled,4136
2009,190307,"Infant, under 24 hrs old",1694
2009,190307,Unknown,3
2009,190315,Scheduled,2569
2009,190315,Unscheduled,8713
2009,190315,"Infant, under 24 hrs old",3407
2009,190317,Unscheduled,854
2009,190323,Scheduled,4892
2009,190323,Unscheduled,14181
2009,190323,"Infant, under 24 hrs old",2611
2009,190323,Unknown,7
2009,190328,Scheduled,153
2009,190328,Unscheduled,1673
2009,190328,"Infant, under 24 hrs old",308
2009,190328,Unknown,2
2009,190352,Scheduled,233
2009,190352,Unscheduled,3438
2009,190352,"Infant, under 24 hrs old",600
2009,190380,Scheduled,170
2009,190380,Unscheduled,3386
2009,190382,Scheduled,802
2009,190382,Unscheduled,15275
2009,190382,"Infant, under 24 hrs old",5761
2009,190385,Scheduled,2877
2009,190385,Unscheduled,11734
2009,190385,"Infant, under 24 hrs old",2718
2009,190385,Unknown,253
2009,190392,Scheduled,8520
2009,190392,Unscheduled,8095
2009,190696,Scheduled,590
2009,190392,"Infant, under 24 hrs old",4400
2009,190392,Unknown,4
2009,190400,Scheduled,6225
2009,190400,Unscheduled,21411
2009,190400,"Infant, under 24 hrs old",3554
2009,190410,Scheduled,3
2009,190410,Unscheduled,2771
2009,190413,Scheduled,1502
2009,190413,Unscheduled,7211
2009,190413,Unknown,15
2009,190422,Scheduled,4966
2009,190422,Unscheduled,19870
2009,190422,"Infant, under 24 hrs old",3554
2009,190422,Unknown,22
2009,190429,Scheduled,6521
2009,190429,Unscheduled,16402
2009,190429,"Infant, under 24 hrs old",2222
2009,190429,Unknown,14
2009,190430,Scheduled,1870
2009,190430,Unscheduled,11944
2009,190430,"Infant, under 24 hrs old",2235
2009,190430,Unknown,3
2009,190431,Scheduled,2932
2009,190431,Unscheduled,11597
2009,190431,"Infant, under 24 hrs old",2059
2009,190431,Unknown,1
2009,190432,Scheduled,2287
2009,190432,Unscheduled,12272
2009,190432,"Infant, under 24 hrs old",1903
2009,190432,Unknown,82
2009,190434,Scheduled,3411
2009,190434,Unscheduled,9051
2009,190434,"Infant, under 24 hrs old",1634
2009,190434,Unknown,10
2009,190449,Scheduled,2248
2009,190449,Unknown,1
2009,190455,Scheduled,918
2009,190455,Unscheduled,5188
2009,190455,Unknown,14
2009,190462,Unscheduled,2461
2009,190468,Scheduled,1543
2009,190468,Unknown,4
2009,190470,Scheduled,5061
2009,190470,Unscheduled,15018
2009,190470,"Infant, under 24 hrs old",2891
2009,190470,Unknown,73
2009,190475,Scheduled,280
2009,190475,Unscheduled,3662
2009,190475,Unknown,1
2009,190500,Scheduled,1231
2009,190500,Unscheduled,2915
2009,190517,Scheduled,267
2009,190517,Unscheduled,11862
2009,190517,"Infant, under 24 hrs old",1819
2009,190521,Scheduled,1168
2009,190521,Unscheduled,5401
2009,190521,"Infant, under 24 hrs old",1402
2009,190522,Scheduled,3359
2009,190522,Unscheduled,7674
2009,190522,"Infant, under 24 hrs old",1442
2009,190524,Scheduled,728
2009,190524,Unscheduled,6161
2009,190525,Scheduled,4452
2009,190525,Unscheduled,19774
2009,190529,Scheduled,2523
2009,190529,Unscheduled,13709
2009,190529,"Infant, under 24 hrs old",1814
2009,190529,Unknown,1
2009,190534,Scheduled,927
2009,190534,Unscheduled,5677
2009,190534,Unknown,10
2009,190541,Scheduled,240
2009,190547,Scheduled,885
2009,190547,Unscheduled,3902
2009,190547,"Infant, under 24 hrs old",1638
2009,190552,Scheduled,221
