Year,OSHPD ID,Age Groups,Count
2009,100899,70-79,4229
2009,100899,80+,5142
2009,104023,19-Oct,2
2009,104023,20-29,10
2009,104023,30-39,11
2009,104023,40-49,41
2009,104023,50-59,109
2009,104023,60-69,241
2009,104023,70-79,422
2009,104023,80+,558
2009,104047,19-Oct,8
2009,104047,20-29,43
2009,104047,30-39,106
2009,104047,40-49,262
2009,104047,50-59,498
2009,104047,60-69,725
2009,104047,70-79,460
2009,104047,80+,178
2009,104062,Under 1,1170
2009,104062,19-Oct,147
2009,104062,20-29,782
2009,104062,30-39,751
2009,104062,40-49,664
2009,104062,50-59,947
2009,104062,60-69,1225
2009,104062,70-79,1670
2009,104062,80+,1408
2009,104089,19-Oct,48
2009,104089,20-29,314
2009,104089,30-39,204
2009,104089,40-49,205
2009,104089,50-59,105
2009,104089,60-69,17
2009,104089,70-79,4
2009,105029,19-Oct,22
2009,105029,20-29,134
2009,105029,30-39,361
2009,105029,40-49,523
2009,105029,50-59,748
2009,105029,60-69,790
2009,105029,70-79,641
2009,105029,80+,414
2009,110889,9-Jan,3
2009,110889,19-Oct,4
2009,110889,20-29,11
2009,110889,30-39,10
2009,110889,40-49,25
2009,110889,50-59,39
2009,110889,60-69,76
2009,110889,70-79,61
2009,110889,80+,76
2009,121002,Under 1,482
2009,121002,9-Jan,39
2009,121002,19-Oct,85
2009,121002,20-29,382
2009,121002,30-39,342
2009,121002,40-49,216
2009,121002,50-59,309
2009,121002,60-69,198
2009,121002,70-79,236
2009,121002,80+,290
2009,121031,20-29,4
2009,121031,30-39,6
2009,121031,40-49,7
2009,121031,50-59,9
2009,121031,60-69,18
2009,121031,70-79,10
2009,121031,80+,29
2009,121051,Under 1,378
2009,121051,9-Jan,23
2009,121051,19-Oct,63
2009,121051,20-29,292
2009,121051,30-39,173
2009,121051,40-49,130
2009,121051,50-59,211
2009,121051,60-69,237
2009,121051,70-79,246
2009,121051,80+,323
2009,121080,Under 1,785
2009,121080,9-Jan,93
2009,121080,19-Oct,192
2009,121080,20-29,713
2009,121080,30-39,605
2009,121080,40-49,622
2009,121080,50-59,1131
2009,121080,60-69,1100
2009,121080,70-79,1022
2009,121080,80+,1018
2009,124004,19-Oct,42
2009,124004,20-29,149
2009,124004,30-39,101
2009,124004,40-49,167
2009,124004,50-59,124
2009,124004,60-69,39
2009,124004,70-79,12
2009,124004,80+,3
2009,130699,Under 1,1597
2009,130699,9-Jan,228
2009,130699,19-Oct,347
2009,130699,20-29,985
2009,130699,30-39,779
2009,130699,40-49,487
2009,130699,50-59,637
2009,130699,60-69,802
2009,130699,70-79,817
2009,130699,80+,934
2009,130760,Under 1,1841
2009,130760,9-Jan,210
2009,130760,19-Oct,391
2009,130760,20-29,1273
2009,130760,30-39,735
2009,130760,40-49,554
2009,130760,50-59,579
2009,130760,60-69,617
2009,130760,70-79,626
2009,130760,80+,632
2009,141273,Under 1,254
2009,141273,9-Jan,17
2009,141273,19-Oct,57
2009,141273,20-29,186
2009,141273,30-39,110
2009,141273,40-49,88
2009,141273,50-59,116
2009,141273,60-69,128
2009,141273,70-79,144
2009,141273,80+,186
2009,141338,19-Oct,2
2009,141338,20-29,1
2009,141338,40-49,1
2009,141338,50-59,3
2009,141338,60-69,5
2009,141338,70-79,13
2009,141338,80+,24
2009,150706,Under 1,1074
2009,150706,9-Jan,122
2009,150706,19-Oct,285
2009,150706,20-29,728
2009,150706,30-39,506
2009,150706,40-49,405
2009,150706,50-59,459
2009,150706,60-69,407
2009,150706,70-79,424
2009,150706,80+,418
2009,150722,Under 1,4033
2009,150722,9-Jan,626
2009,150722,19-Oct,1079
2009,150722,20-29,2739
2009,150722,30-39,1747
2009,150722,40-49,1737
2009,150722,50-59,2185
2009,150722,60-69,2276
2009,150722,70-79,2033
2009,150722,80+,1748
2009,150736,Under 1,4595
2009,150736,9-Jan,322
2009,150736,19-Oct,1243
